bin,D_mode,D_mean,D_median,D_std,halflife_mode_min,halflife_mean_min,D_95CI_lower,D_95CI_upper
1,0.3564526703500702,0.919064295495543,0.793077157568877,0.5848389653280442,1.9445700319181485,0.754187910418403,0.1767004130409333,2.334201907933397
2,0.3560737629070907,0.9149948209443434,0.7957823106942103,0.5740468174217613,1.94663929996102,0.7575421900689726,0.1857829789296863,2.3178050931343
3,0.10755512639639968,0.7721814936971113,0.6441315582158038,0.5935260475864491,6.444575947085195,0.897648009202138,0.0981445651655463,2.209077130582474
4,0.10759428635178794,0.6935101889040023,0.5286051263418456,0.5982055156934047,6.442230382881544,0.9994765637911813,0.0855026703572775,2.166717135562448
5,0.27564126010396395,0.897775146174758,0.7682116529428216,0.5881434770423271,2.5146713532600677,0.7720721424660819,0.1622161656770287,2.333515949852436
