D[0],D[1],D[2],D[3],D[4],gamma,sigma
1.4764138765410435,1.109890506782283,0.3809880790482078,0.5264034592789001,1.2517962994082024,0.11055349285556604,35.994918838067456
1.4764138765410435,0.3949309402296849,2.142749175497959,0.5264034592789001,0.44071847651372353,0.0827581728691536,33.74200220389438
1.4764138765410435,0.3949309402296849,2.142749175497959,0.5264034592789001,0.44071847651372353,0.11083856353256419,37.34909683236241
1.4764138765410435,1.2783755742163478,2.142749175497959,0.5264034592789001,0.7561717398092517,0.11201698794254251,32.319525564272645
1.4764138765410435,0.4460748792479722,0.5747892357105072,0.5264034592789001,0.5496434976495872,0.10516275457678265,35.68317153441093
1.4764138765410435,0.4460748792479722,0.5747892357105072,0.5117483686852752,0.5496434976495872,0.09005478584539767,42.43165934977576
0.8809596877822107,0.4460748792479722,0.5747892357105072,1.4769250333102761,0.5496434976495872,0.11803924224935419,39.182960818333804
0.8809596877822107,0.4460748792479722,0.5747892357105072,0.602173687593662,0.5496434976495872,0.0757874560825426,26.844271483617298
0.8809596877822107,0.4460748792479722,0.40149663623366305,0.602173687593662,0.736472505959194,0.09100560964672137,36.8635573836099
0.8809596877822107,0.4460748792479722,0.08414210507866865,0.818500917870513,0.736472505959194,0.08140291894889701,36.920686320037454
0.9003952179217378,0.4460748792479722,0.43678418274136716,0.818500917870513,1.113203456329813,0.08263960743248827,32.956514788679165
1.5491278295092665,0.6404514532465932,0.43678418274136716,0.8331222615212959,1.113203456329813,0.09947574206930591,28.69519859575411
1.5491278295092665,1.2539213040490418,1.1713833407433762,0.8331222615212959,1.113203456329813,0.07850273190442916,26.758856002209683
0.6593195323082873,1.2539213040490418,1.1713833407433762,0.9383719811415111,1.113203456329813,0.08182766120616279,26.649852988054228
0.6593195323082873,0.9749953602780694,1.1713833407433762,0.9383719811415111,1.5140766619289632,0.08545758751358098,24.276035025092234
0.5155903502601832,0.9749953602780694,1.7737692256611004,0.8421895289485407,1.5140766619289632,0.08379867333093409,24.07419270182565
0.3230176209362117,0.717731211921026,1.7737692256611004,0.8421895289485407,1.5140766619289632,0.08144725476493994,26.350500976737628
1.0687789560112224,0.717731211921026,0.971249938631264,0.8421895289485407,1.3940088968623243,0.07713784336017387,19.05189011572214
0.1789914726175097,0.717731211921026,0.971249938631264,1.941789609458631,0.7738081417943808,0.07556867138425603,18.433442016878463
2.2866719457879072,0.717731211921026,0.5579632516046642,1.941789609458631,0.7738081417943808,0.07341555420270494,19.580754132620044
1.1118033894228017,0.717731211921026,0.5579632516046642,1.922480702774878,0.7738081417943808,0.07466065088697182,18.653888879409035
0.9340649338514941,0.717731211921026,0.5579632516046642,1.3151482898473357,0.7738081417943808,0.07070861060209967,18.940903954227448
0.9340649338514941,1.485640109126514,0.3367009067856775,0.2674862720702458,0.7738081417943808,0.07381401576820898,17.534400055519825
0.38944959270365903,0.3785945946877877,0.3367009067856775,0.2674862720702458,0.7738081417943808,0.07744286575244891,22.988517372177864
0.9882870708540386,0.30085465433640984,0.8440447516850453,0.2674862720702458,0.7738081417943808,0.0764370101482776,22.145205746519853
0.9882870708540386,0.30085465433640984,0.8440447516850453,0.18389882123895232,0.7738081417943808,0.07671256438966906,22.358660895322334
0.06795135603773031,1.7039723273977987,1.4903527333874296,0.18389882123895232,0.7738081417943808,0.08141788979510833,20.97375761955611
0.12802721262664896,1.7039723273977987,1.4903527333874296,0.18389882123895232,0.7738081417943808,0.06840442312560792,18.962303162147585
0.03281691618068938,1.9183407659457987,0.9868894737236045,0.18389882123895232,0.7738081417943808,0.0633475376049679,18.898705115975634
0.03281691618068938,1.9183407659457987,0.3443336832550641,1.9882616523935661,0.7738081417943808,0.07518571029885031,21.337482795018484
0.03281691618068938,1.9183407659457987,2.027200333251652,0.36952858251462556,0.7738081417943808,0.07658826720004534,23.464884190148958
0.5641038037940953,1.9183407659457987,1.6680541336868138,0.46791142817532017,1.0458578555291191,0.0796254311475469,26.254051490059616
