D[0],D[1],D[2],D[3],D[4],gamma,sigma
0.6271994367517607,0.8987670703719876,0.20586771422766478,0.4056926008572081,1.7999797678231253,0.37880135458506314,117.8970899304376
0.6271994367517607,0.3198071539313705,0.8579707822876409,0.4056926008572081,0.6337167967388669,0.3580451904728014,103.26016978805558
0.6271994367517607,0.3198071539313705,0.8579707822876409,0.4056926008572081,0.6337167967388669,0.3656940127428399,93.54866903157458
0.6271994367517607,1.0352028985314272,0.8579707822876409,0.4056926008572081,1.087312555005742,0.3535272303162289,109.8223852741759
0.6271994367517607,0.3612224899107838,0.8579707822876409,0.4056926008572081,0.7903419875522215,0.35161756560286606,112.35272232044034
0.6271994367517607,0.3612224899107838,0.4000614643188244,0.3920665066545713,0.7903419875522215,0.3440294488065043,93.85071126152891
0.6271994367517607,0.3612224899107838,0.4000614643188244,1.4135954696426738,0.7903419875522215,0.3322351134768051,84.31013405675162
2.4380867491817297,0.3612224899107838,0.4000614643188244,0.4773805995947172,0.7903419875522215,0.2939411938627482,75.66039459156092
2.4380867491817297,0.3612224899107838,0.2974022918201909,0.4773805995947172,1.0589866825067713,0.3144316609042238,65.86699057302114
0.20106340859246585,0.3612224899107838,0.08174500442030401,0.6920773160167829,1.0589866825067713,0.2976618550293589,81.55681021936755
0.20509195560687937,0.3612224899107838,0.08174500442030401,0.6920773160167829,1.0589866825067713,0.2967253059440245,66.0308608035865
0.33587648886575316,0.5186247407581763,0.08174500442030401,0.7070644343511127,1.0589866825067713,0.28808239539616687,63.5737521777005
0.33587648886575316,1.0154003210500917,0.08174500442030401,0.7070644343511127,1.0589866825067713,0.29194786928510186,62.815688365172164
0.33587648886575316,1.0154003210500917,0.08174500442030401,0.8165357546564602,1.0589866825067713,0.27719226266838803,72.84793439645392
1.2369735038795076,0.7895316864398546,0.08174500442030401,0.8165357546564602,1.4403360070075437,0.2889688742594374,69.23925622742823
0.9891850023738652,0.7895316864398546,0.11518216794425772,0.7163863817478835,1.4403360070075437,0.28415908835623127,76.61000501288392
0.6466371395018562,0.5812043392667152,0.11518216794425772,0.7163863817478835,1.4403360070075437,0.3010274015069294,72.54457923204605
1.9190237675963404,0.5812043392667152,0.11518216794425772,0.7163863817478835,1.3261159482384743,0.2718567207686012,102.52029443359682
0.3780726884019925,0.13571925322532485,0.11518216794425772,1.9684575211797886,0.7361210678210277,0.3220323423062459,85.87077569963438
0.3780726884019925,0.13571925322532485,0.11518216794425772,1.9684575211797886,0.7361210678210277,0.3066208253727552,84.10209667829105
0.19627725209929464,0.3048475942008857,0.11518216794425772,1.9447976678592387,0.7361210678210277,0.30387696119817315,74.29420657134112
0.1675314705696131,0.3048475942008857,0.11518216794425772,1.2284594764118069,0.7361210678210277,0.3006242926069633,76.80815503108245
0.1675314705696131,0.6310075493350459,0.11518216794425772,1.2284594764118069,0.7361210678210277,0.2806257375373045,91.0389084203487
0.1675314705696131,0.160803444870572,0.11518216794425772,1.2284594764118069,0.7361210678210277,0.2768068215191728,78.79184249040503
