,apBin,yBin,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640,660,680,700,720,740,760,780,800,820,840,860,880,900,920,940,960,980,1000,1020,1040,1060,1080,1100,1120,1140,1160,1180,1200,sum_fluo
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.922605213940367,44.84495815117919,59.122392459742095,82.0680239019777,94.63005354282522,96.64666122949359,113.84931761116836,134.53810044503743,112.20454580930384,111.83796803250128,102.340982000802,83.8138785033526,81.57128350324382,78.56693963690863,61.7742226103719,40.385203764823196,50.00015917605233,59.500136869745184,62.59257852032717,84.38923008223384,71.30596914871633,66.3973383215175,53.7641893858325,46.780468990465494,35.443921094865495,25.522616053713886,30.93445471053437,22.487504860116015,31.160382721547183,31.987274524236337,37.9582896694675,40.7862405336015,34.493116886991835,27.3493572247425,25.777668245723167,26.004731942894665,17.270883030429,7.602028045893349,9.988431866296217,14.761856427429036,18.870385785565954,25.136759255588853,21.796756392178633,2292.1798661833773
1,1.0,2.0,0.0,0.0,0.0,7.931750266794783,1.323059221262985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8892294887192583,4.937624416303733,10.178371301529767,8.727195956268462,8.034816006298383,8.0390053485799,10.037399875064034,16.216059624805265,26.56497100877017,28.117304927092167,33.088141679767,27.462166137727,18.22200785314683,17.852152128475666,19.858046152438664,27.932054630842654,38.98582912196112,49.06925119075968,49.689762618731656,50.84490361074163,50.18598845394117,57.218578308687846,56.577416148131455,64.13125981363959,45.85289699316488,43.74288759488716,35.738265273928334,41.84250618205948,37.28284643117103,32.39834895882938,23.849808632276535,23.169292119900803,22.182187861612686,18.276663545374088,17.337115961038517,17.177463985106016,20.820579785111715,19.407605905401965,19.615763585733,24.731580998228335,26.571597832848667,30.0834449024035,33.88772253286067,36.791600285794665,27.038718898286334,22.490885612033168,23.718157108776335,20.50712135994733,22.147215491334,1378.7766231285896
2,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6226098859909,21.640611696448026,30.602377477321138,53.27602144455513,55.88562322669972,61.748174236197514,59.39206592991006,63.40938223622987,67.23297395512228,52.20478885949131,52.93092164159709,38.997760070892284,36.76255452834633,33.23092830672346,30.766548381982,29.1389146222629,24.319578745845902,44.154230005691176,49.56965312614328,51.149295287686286,48.02000705063468,47.76606973213316,38.820514558234564,44.63592816420484,45.7209792186039,46.45037803921756,47.55372826949825,45.877369255225986,45.47212374307331,44.212121164971585,33.66380027954525,27.461081845176714,18.794273088494876,11.61999804337795,11.680861230796616,6.687900344728424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6172640550968373,1426.0894117481514
3,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.736997774595428,25.317065952626045,38.03561623367813,53.716946176950515,73.18243981489674,86.03157657497425,86.63098869735076,102.69197399892096,98.95098995087253,109.87380055475184,100.16610284766924,97.47670698931775,85.93383667302479,79.50654433739773,52.9529690486162,60.65129049908457,40.97930703893563,24.94018719263061,24.314710298829,19.81392347715343,19.483915112047217,14.69635586888457,18.950366615853284,23.44727575075517,23.869836287316616,24.844300735390675,25.670437741609398,24.92934534066583,20.69720037535371,22.522024831413,24.621880717189573,30.84208621507698,34.58204442333837,28.105012710061903,29.895145499270086,22.147392595939998,15.678625415668629,7.742804242801529,4.979098335228514,5.620787325145871,3.0509404389695147,3.2106174707924433,0.9606168467171402,1707.452085027766
4,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.30445303911222,49.92257839659616,56.285646952819015,62.431057306349,64.6007368397136,61.09123082573035,56.18164615981032,54.53177092525485,46.307990497099354,42.36516539452567,36.314751119762754,33.63923154887015,25.393128990693,15.184142599017001,8.129949443058793,8.351153710623317,11.2147958825998,14.078438054576301,16.942080226552832,20.520550229945503,27.031530929329467,30.81399379623888,33.474844828940654,30.613886353179936,29.001795618887048,26.699394717329934,28.041118641382365,25.554676266856074,22.66913588171805,31.5112447199745,28.838345333424048,25.538727564222597,20.145228101057068,16.37434880681894,8.902101723562367,11.077936284723231,14.520366603823106,13.740131661317266,11.417006553670234,7.949627985192702,6.598586183845616,5.118175037394,3.5336988272074166,0.0,0.0,1174.9564005628054
5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9511555712350326,2.06911582988385,0.18707608853267665,0.0,0.42438490869504664,2.684768097227417,21.44438182198097,49.24981590564992,56.30323207805003,65.3749675075789,78.69245660416648,79.80554735414158,81.10669303793931,80.1747318050942,59.113520004327796,40.921145771303586,33.3403372138422,27.2186315505686,23.938863080811018,26.9408915639722,27.868194106216208,37.9481498452726,38.77274226702908,43.29692213905562,50.494812251976356,62.40419706407375,59.46838487377158,69.88590263747143,75.77652469555957,71.14914454803778,70.05217393042206,65.7643034284327,55.23192301893382,45.95551104410103,35.55502139161522,40.832269902291586,48.719815833553156,56.3887313946964,46.09061611734717,46.8712086687903,44.82252116285995,40.36936005167188,42.44055483321235,37.233547460760846,41.340931522618895,46.4415514133849,2034.1167313981568
6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.045483958829735,3.4808670775805677,2.3496803326245113,0.47203901563176437,0.0,0.0,0.0,0.0,1.7148989319620556,4.908379887385933,2.6595457403098113,0.0,0.0,0.0,0.0,0.0,2.7384084626911,3.374564640997012,3.2679546963857664,26.567497834032867,38.83566717934081,41.895924450789785,50.199586382826965,54.61185389229224,55.15970393336855,44.689167675184954,41.81063610199723,30.822091967001956,24.148905649791743,14.561023424895344,11.087577491122644,11.731756713325089,23.873658992689254,31.42846090989007,39.17048168983883,41.745610476538964,50.080134188748474,57.967007031424565,74.11054399385563,83.43581181481063,79.94558564735162,82.17189608259854,85.79506063377494,91.43450697535368,81.72084374801484,78.44127884056054,85.64899859456901,83.62784995863245,74.52121022769774,65.93041315401642,67.43096583739771,56.35931485464528,56.40118379004254,52.15945936770503,57.861718486829446,1976.3952107373548
7,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.789793972374914,30.539852900097355,46.78881152264935,55.02336527579666,57.35711038586768,62.50604283591427,62.43223008530351,61.6830980333915,68.14493647960424,58.99238008571513,51.212424754187715,42.68915340787472,35.35507344198772,31.482946957527133,23.309613230227,18.10193706951271,12.892027788310115,8.953751511381919,30.32871375183687,54.48033185673777,72.27345304569785,76.8754471525052,93.97817787702209,83.23950834355533,86.38679913400459,95.6805633567288,89.65701474597164,87.79657032560944,75.57499645454041,58.3238556675476,50.17607462758353,38.154085727693975,29.840017049794085,25.062967438117887,22.268361914124416,29.434430763888514,23.827059543097683,36.137039459117524,36.72651258038278,42.729963180720596,46.1969771830906,43.89969889192038,45.357687527149736,43.65029778630959,2161.3111551224724
8,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.303659530558343,10.672517373677085,29.1413833672755,43.38426583716091,48.09592304945342,66.99705451694429,77.60597953481572,85.55614871252784,88.28992592555355,87.63259702179495,70.32088070160529,52.93196731643601,45.942485846975714,39.01890049761773,42.25901565306863,38.05407929231534,38.72376186264619,42.751235698596595,51.00168152744618,52.49207265951416,55.22276528578889,45.293814599180266,34.8191737348069,34.30884753954819,33.94801719419536,26.0070210585734,20.400842774418656,17.006126505516622,15.983024199293558,14.76831766572676,14.017861671202562,17.471772997014757,23.695125587793687,28.3538806300541,28.422002136622293,21.550544743552827,26.0907863913697,23.430488101830385,18.1779562224867,19.45836217768961,25.53577917547273,29.3050459266002,35.12682858506817,62.07040350945107,69.65188441074189,65.94894083196917,1821.2411495819515
9,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1292471572054,25.066054920113455,32.78708857378901,31.546518947171847,31.156168865951017,23.966364100453166,24.027611450145333,21.50957381887167,22.527226486476067,27.303284110680668,47.86272926901584,70.92595379838826,93.536905000834,103.17619977154618,95.51728484248532,91.41153610695166,77.20007030329839,67.93718940269873,83.48145210040164,89.52842368013133,98.35922451979093,89.94812276136402,71.58683891907945,69.74048733843448,64.87620526305706,49.52583755983854,47.94000464956695,34.80967766133431,43.199399922668505,47.24830845001356,47.72625041880531,37.62788750753983,30.07116486353775,45.00489274602352,45.17031792916805,50.75424435302335,50.7798393511685,58.2915660411598,2051.2571529621828
10,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.643505950947718,15.909967422303934,19.213296030429834,19.628904283428582,36.2018837128057,41.314636243301145,47.18246523865478,58.365943231141415,65.05124806130992,70.59415708675589,69.80842099978011,59.79160251215024,67.01825464627443,63.26955569498329,57.01084154522473,56.41238509225292,69.48086189431608,88.48778746816906,90.67802672738999,85.59815584715045,76.22086005424323,76.45477490216071,65.32086603282143,63.57833419204808,60.10302810810023,57.33147294176914,52.354268861964876,41.18227020189226,46.05762421851583,41.54825249895227,37.02020409901814,44.33618138606516,58.55227328498103,1810.7223104713028
11,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.84404477281195,45.309166576072165,51.82894506793065,66.00543476269512,67.37367749235865,70.680044791636,85.34463666028826,81.3848135596013,71.28259401004452,57.46814825100005,50.75132664180038,45.189508348489774,49.900445110162856,58.948427476633434,68.84701125375109,77.36813706209354,90.13897253118569,117.33827771391752,115.71126807612954,115.14255106564087,124.90495933207815,138.36625867456047,145.8929558776737,139.64458516341577,137.48336692615908,133.09525532217052,136.9795995049362,126.34717074840519,118.93817545184527,113.95292292969346,116.69854022089915,117.29735088070531,128.90308602660684,128.56264028107586,120.67789769353762,128.1963028148939,121.71780750991122,109.28423639123729,103.2227020437562,92.64822267904475,102.41248696353153,89.1918503501472,90.81387248507393,4169.089677495603
12,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5596885519138795,9.85891099635964,14.934203217363741,18.29231789043198,17.36219247008176,24.906226761848178,34.05013245264238,58.36961116221356,69.50133600796248,67.40788251767525,64.25588023655787,58.46067212315188,58.6092413087164,66.93569192786212,72.70348794040424,65.19545984635366,80.29313098591822,86.89609047643424,83.498589425101,85.73783495496207,75.94105471481049,77.6335510571818,66.00995256562321,61.1263043540804,60.43916824125081,53.14960525217,45.32024608945996,43.34866879084107,46.4390591325616,47.19484597891253,52.1027428623723,69.42395405845369,81.86377968917819,78.8873150129967,79.40628992611693,67.95471586473059,55.4339804132466,46.275484547719586,55.79630724064018,68.8878591594801,78.46341984140854,88.61217001852204,2444.539056065713
13,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5927324848243325,11.059252576118483,13.236571124621584,19.17440211533233,16.1944438543131,36.56646381321317,51.253916908030796,57.00261736969395,57.739264259221564,57.55391902395025,51.93483624931273,48.01646508598973,53.50174934906652,56.937864069982965,46.78073031562971,34.55414192134514,28.372293325147353,27.936474518415604,26.69255676459923,41.49188041235917,50.228435055374696,58.727064314165204,72.10961903299535,68.18607402242924,44.61858419598195,45.82961180357933,35.58685774783984,39.58346629704893,52.48399644283364,54.77226651536097,57.813118640974416,59.42335283088877,54.03236023677275,61.835865579790244,64.04461855942098,66.57501955157323,70.63502208698416,75.31205719479472,69.92702997559019,1843.3169956255663
