,apBin,yBin,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640,660,680,700,720,740,760,780,800,820,840,860,880,900,920,940,960,980,1000,1020,1040,1060,1080,1100,1120,1140,1160,1180,1200,sum_fluo
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.933661611948887,38.438535558153596,50.676336394064656,70.34402048740945,81.11147446527876,82.83999533956593,97.58512938100145,115.31837181003208,96.17532497940329,95.86111545642966,87.72084171497315,71.84046728858793,69.91824300278041,67.34309111735026,52.949333666033056,34.61588894127702,42.857279293759134,51.000117316924445,53.65078158885186,72.33362578477185,66.3118656880591,64.89697193804473,51.48069273501377,43.042103070034564,31.13791357470845,21.876528046040473,26.515246894743747,19.275004165813726,26.708899475611872,27.41766387791686,32.53567685954357,34.959634743087,29.565528760278713,23.44230619263643,22.095144210619857,24.571401631239155,20.36659832724187,17.555495211999357,23.7592791370139,31.510343604462175,33.132191198440246,39.518435815879016,34.58664726295897,2090.7752076199845
1,1.0,2.0,0.0,0.0,0.0,5.948812700096087,0.9922944159472388,0.0,4.5511694536834515,3.9159754622781384,2.6433903742025753,0.5310438925857349,0.0,0.0,0.6669221165394438,3.7032183122277997,9.563039774604638,12.067324340510519,9.018100962572325,6.029254011434925,7.528049906298026,12.16204471860395,19.923728256577625,21.087978695319126,24.816106259825247,20.59662460329525,13.666505889860124,29.864361833696748,42.358707879472746,47.820502647065865,62.95357739129234,75.18144150105427,80.52980311355175,75.46614380916922,70.03070099876213,65.94765314478464,62.2299693905601,61.12728416807144,43.07542364292046,41.782156484889256,38.810658421053546,45.532174736626864,51.45411142655815,52.81990291362304,54.4017504115519,59.51351914273208,66.26471560087076,67.75954209005123,58.82517147528181,55.419651427207995,57.68895452626008,57.203364501753065,56.01123473181985,54.5779111553396,65.53611846340542,75.34570939329838,73.9065120671185,74.5649197280805,72.30743381029487,58.882764291426376,64.27304762366762,58.31202557612662,63.90737220364875,2321.097875869549
2,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2200976764363554,19.23609928573158,32.26714286854739,54.29377628596007,56.477656955327724,61.91929714731449,59.59981143969316,62.974429853384294,67.09858662563215,54.05028618413029,50.76768488633985,35.71921124590746,32.90650561412008,29.538602939309744,27.348043006206222,25.901257442011467,21.6174033296408,39.52077309664838,47.63234904973862,53.32036875162141,53.7782003970583,52.406911544690956,46.6435163921235,50.509454766039596,53.401379127951685,51.27814090795343,51.0961065426821,48.48119921140813,47.78473458085794,47.69972063837852,39.05226052756367,34.225030559302574,25.17628521065798,17.60982272630661,15.664266606867212,13.166753226515722,2.8718790601500555,3.9908488350983893,5.2001086676054005,6.4093685001124125,7.618628332619423,5.665811277680767,8.78960892193209,12.311865914858457,1536.2412861601163
3,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.736997774595428,25.317065952626045,38.03561623367813,53.716946176950515,73.18243981489674,86.03157657497425,86.63098869735076,102.69197399892096,98.95098995087253,109.87380055475184,100.16610284766924,97.47670698931775,85.93383667302479,79.50654433739773,52.9529690486162,60.65129049908457,40.97930703893563,24.94018719263061,24.314710298829,19.81392347715343,19.483915112047217,14.69635586888457,18.950366615853284,23.44727575075517,23.869836287316616,24.844300735390675,25.670437741609398,24.92934534066583,20.69720037535371,22.522024831413,24.621880717189573,30.84208621507698,34.58204442333837,28.105012710061903,29.895145499270086,22.147392595939998,15.678625415668629,7.742804242801529,4.979098335228514,5.620787325145871,3.0509404389695147,3.2106174707924433,0.9606168467171402,1707.452085027766
4,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.30445303911222,49.92257839659616,56.285646952819015,62.431057306349,64.6007368397136,61.09123082573035,56.18164615981032,54.53177092525485,46.307990497099354,42.36516539452567,36.314751119762754,33.63923154887015,25.393128990693,15.184142599017001,8.129949443058793,8.351153710623317,11.2147958825998,14.078438054576301,16.942080226552832,20.520550229945503,27.031530929329467,30.81399379623888,33.474844828940654,30.613886353179936,29.001795618887048,26.699394717329934,28.041118641382365,25.554676266856074,22.66913588171805,31.5112447199745,28.838345333424048,25.538727564222597,20.145228101057068,16.37434880681894,8.902101723562367,11.077936284723231,14.520366603823106,13.740131661317266,11.417006553670234,7.949627985192702,6.598586183845616,5.118175037394,3.5336988272074166,0.0,0.0,1174.9564005628054
5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7413866854820395,2.48293899586062,0.22449130623921199,0.0,0.509261890434056,3.2217217166729,25.733258186377164,59.099779086779904,67.56387849366004,78.44996100909468,94.43094792499978,95.7666568249699,97.32803164552716,96.20967816611304,70.93622400519335,49.105374925564305,40.00840465661064,32.66235786068232,28.726635696973222,32.32906987676664,33.44183292745945,45.53777981432712,46.5272907204349,44.6868575820436,49.414819974930005,67.32909391086822,67.2396803390361,82.80270947421249,90.93182963467149,85.37897345764534,84.06260871650646,78.91716411411923,66.27830762272058,55.146613252921235,42.666025669938264,48.9987238827499,58.463779000263784,67.66647767363568,52.114455388555385,48.457272380924536,38.33176575370486,27.16635950974226,24.528412466522624,20.939652217775812,24.44741879161868,33.46466319853368,2264.4706264298625
6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5208108806028426,4.338725966996158,4.201656038210271,15.329356943939404,18.542802641845324,23.155946666519586,26.011804720981527,26.352951452393444,21.476783743470424,14.79182575253723,16.738006807360726,13.304153199552514,8.42355608749053,3.831213765903443,4.328884319389914,4.826554872876385,16.972465029906413,24.23625534119324,23.514074626158642,21.077337818977526,22.658008028568617,26.372951837195608,38.56718547248725,45.50085012644722,50.41879925573447,57.0363767480513,62.22391260065201,68.81846888522433,57.87032819885325,59.676815187385436,57.99737523442426,47.197949127960854,40.39501867278508,31.086280325181686,27.23593363484833,24.44529043322793,19.39074511052854,17.997379694288043,20.339968814325573,1070.2048040644756
7,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.789793972374914,30.539852900097355,45.676408202822486,53.146042413596454,59.27955171479153,60.95823922833664,60.380564289794016,65.93176391663744,78.31320187286595,77.90699344532469,80.76800907525487,77.66676908036132,73.01205918963372,65.14399813143599,53.33409084490071,46.86624195828472,33.747747429329685,18.949073814529786,35.73896593278193,52.588902307585535,63.33444891353615,66.14745078747247,78.6874595670122,69.31127011773853,69.98043079075687,82.8376713770373,78.30913864194979,77.89487905977155,66.10562198552113,47.52378189245702,38.43893998305339,26.80562942404214,23.334177721318316,27.715897148754102,33.17282627674356,39.83215611903878,39.673294437705614,49.76578030429146,43.25891838627543,42.504308125027684,46.752100643233,47.54545065477286,45.65076375552318,39.26932862032634,2329.589994454099
8,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.303659530558343,10.672517373677085,29.1413833672755,43.38426583716091,48.09592304945342,66.99705451694429,77.60597953481572,85.55614871252784,88.28992592555355,87.63259702179495,70.32088070160529,52.93196731643601,45.942485846975714,39.01890049761773,42.25901565306863,38.05407929231534,38.72376186264619,42.751235698596595,51.00168152744618,52.49207265951416,55.22276528578889,45.293814599180266,34.8191737348069,34.30884753954819,33.94801719419536,26.0070210585734,20.400842774418656,17.006126505516622,15.983024199293558,14.76831766572676,14.017861671202562,17.471772997014757,23.695125587793687,28.3538806300541,28.422002136622293,21.550544743552827,26.0907863913697,23.430488101830385,18.1779562224867,19.45836217768961,25.53577917547273,29.3050459266002,35.12682858506817,62.07040350945107,69.65188441074189,65.94894083196917,1821.2411495819515
9,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8154474167765886,6.203694684119766,11.197547184160266,15.955872462510834,17.48733266806448,15.590789448718889,17.707543071178932,22.926225481323545,32.23986518707737,37.481118775274155,37.957224982941675,34.71752739967946,26.922444142943423,27.091349644498788,24.161550664079304,31.41340821247416,34.54924103565797,60.33160755799867,76.08613566390676,87.42263068083157,88.81880771465009,80.71510087276869,72.66613863630788,57.910040372434295,47.22690845559737,55.65430140026776,59.68561578675422,65.57281634652729,59.96541517424268,47.7245592793863,46.49365822562298,43.250803508704706,34.65126889463712,37.628799856723276,30.020274364855247,33.0622501404163,37.8161538189714,40.381255606389196,38.1554051235419,36.41570644715384,54.256153830838336,54.246978488407805,55.34551372336612,55.77202410126522,55.690723339219204,1910.3852298732659
