bin,D_mode,D_mean,D_median,D_std,halflife_mode_min,halflife_mean_min,D_95CI_lower,D_95CI_upper
1,0.20134522006609035,0.8028117772971822,0.6761800654097933,0.5985883056823532,3.4425807592175466,0.8633993672757971,0.0387638101085093,2.237265029974473
2,0.29292666487663627,0.8552615898709404,0.7411458202721399,0.5865377075137469,2.366282294074726,0.8104504969813291,0.10562935924164198,2.253833623374428
3,0.3465515275991212,0.9206822228452133,0.7964617565239708,0.5668398037604828,2.000127326986577,0.7528625657807215,0.20371134266206933,2.2784811766962907
4,0.3780563173604001,0.9098375845454184,0.7869881435517292,0.5717969201194837,1.8334495384167062,0.7618361698107492,0.1766284092936633,2.29060596389504
5,0.3933238324607515,0.8762912240120412,0.7541317338571674,0.5908628315144294,1.7622811621238645,0.7910009384624633,0.13179910727055968,2.3238665528859
