bin,D_mode,D_mean,D_median,D_std,halflife_mode_min,halflife_mean_min,D_95CI_lower,D_95CI_upper
1,0.22841727971716935,0.8077515739248523,0.6859876784931037,0.5992626052404169,3.0345654296304265,0.8581192571274778,0.0402477060350247,2.2479044516539655
2,0.33050289759580237,0.8475408178461367,0.7208985126956938,0.5906841719911754,2.0972499351810487,0.8178333903981718,0.09865724956247753,2.298850701714752
3,0.4122086868933511,0.9237977646210999,0.7953009344884925,0.5676308959982551,1.68154433081921,0.7503235092198377,0.2013464344592897,2.2746766427444367
4,0.5027433276542437,0.906879570576301,0.7800959370853062,0.5774468758280481,1.3787297462387205,0.7643210885426235,0.1752410166764629,2.3148358772336985
5,0.36170677802312545,0.875253500920807,0.752499844981653,0.5898737500105138,1.9163234494755015,0.7919387695458773,0.132197931862587,2.296804652214701
