bin,D_mode,D_mean,D_median,D_std,halflife_mode_min,halflife_mean_min,D_95CI_lower,D_95CI_upper
1,0.2023630623607831,0.8053142272849462,0.6756587266627072,0.6008680153568268,3.4252653249740184,0.8607164223297491,0.04096937266229236,2.2490553440218672
2,0.3225044224818867,0.8460378042611596,0.7183572878119583,0.5945346080744641,2.1492641100103844,0.8192862979276287,0.09306864079696878,2.2877364312507127
3,0.37628306376663,0.9171923423269523,0.7961997175451856,0.5643114074851402,1.8420897651397719,0.7557271780108894,0.2026928907324161,2.285748312517448
4,0.35639681627266323,0.9132961711638145,0.7953324422405463,0.5719508318761674,1.9448747825784432,0.7589511512751301,0.1832143678037396,2.2940647510666907
5,0.40625657904559626,0.8763958937160092,0.7498590620171818,0.5900784096010205,1.7061808135841903,0.7909064676477768,0.1326817520485461,2.3056737676057093
