apBin,yBin,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640,660,680,700,720,740,760,780,800,820,840,860,880,900,920,940,960,980,1000,1020,1040,1060,1080,1100,1120,1140,1160,1180,1200
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.922605213940367,44.84495815117919,59.122392459742095,82.0680239019777,94.63005354282522,96.64666122949359,113.84931761116836,134.53810044503743,112.20454580930384,111.83796803250125,102.340982000802,83.8138785033526,81.57128350324382,78.56693963690863,61.7742226103719,40.385203764823196,50.00015917605233,59.500136869745184,62.59257852032717,84.38923008223384,71.30596914871633,66.3973383215175,53.7641893858325,46.7804689904655,35.443921094865495,25.522616053713886,30.93445471053438,22.487504860116015,31.160382721547183,31.98727452423633,37.9582896694675,40.7862405336015,34.493116886991835,27.3493572247425,25.777668245723167,26.004731942894665,17.270883030429,7.602028045893349,9.988431866296217,14.761856427429036,18.870385785565954,25.136759255588853,21.796756392178633
1.0,2.0,0.0,0.0,0.0,7.931750266794783,1.323059221262985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8892294887192583,4.937624416303733,10.178371301529767,8.727195956268462,8.034816006298383,8.0390053485799,10.037399875064034,16.216059624805265,26.56497100877017,28.117304927092167,33.088141679767,27.462166137727,18.22200785314683,17.852152128475666,19.858046152438668,27.932054630842654,38.98582912196112,49.06925119075968,49.68976261873166,50.84490361074163,50.18598845394117,57.218578308687846,56.57741614813147,64.13125981363959,45.85289699316488,43.74288759488716,35.738265273928334,41.84250618205949,37.28284643117103,32.39834895882938,23.849808632276535,23.169292119900803,22.182187861612686,18.276663545374088,17.337115961038517,17.177463985106016,20.820579785111715,19.407605905401965,19.615763585733,24.731580998228335,26.571597832848667,30.0834449024035,33.88772253286067,36.791600285794665,27.038718898286334,22.490885612033168,23.718157108776335,20.507121359947334,22.147215491334
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6226098859909,21.640611696448023,30.602377477321138,53.27602144455513,55.88562322669972,61.748174236197514,59.39206592991006,63.40938223622987,67.23297395512228,52.204788859491316,52.93092164159709,38.997760070892284,36.76255452834633,33.23092830672346,30.766548381982,29.1389146222629,24.319578745845902,44.154230005691176,49.56965312614329,51.149295287686286,48.02000705063468,47.76606973213316,38.820514558234564,44.63592816420484,45.72097921860391,46.45037803921756,47.55372826949825,45.877369255225986,45.47212374307331,44.212121164971585,33.66380027954525,27.461081845176714,18.794273088494876,11.61999804337795,11.680861230796614,6.687900344728425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6172640550968376
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.736997774595428,25.317065952626045,38.03561623367813,53.71694617695051,73.18243981489674,86.03157657497425,86.63098869735076,102.69197399892096,98.95098995087253,109.87380055475184,100.16610284766924,97.47670698931772,85.93383667302479,79.50654433739773,52.9529690486162,60.65129049908457,40.97930703893563,24.940187192630614,24.314710298829,19.81392347715343,19.483915112047214,14.69635586888457,18.950366615853284,23.447275750755175,23.869836287316616,24.844300735390675,25.670437741609398,24.92934534066583,20.69720037535371,22.522024831413002,24.621880717189573,30.84208621507698,34.58204442333837,28.105012710061903,29.895145499270086,22.147392595939998,15.678625415668629,7.742804242801529,4.979098335228514,5.620787325145871,3.0509404389695143,3.2106174707924433,0.9606168467171402
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.30445303911222,49.92257839659616,56.285646952819015,62.431057306349,64.6007368397136,61.09123082573035,56.18164615981032,54.53177092525485,46.307990497099354,42.36516539452567,36.31475111976275,33.63923154887015,25.393128990693,15.184142599017,8.129949443058793,8.351153710623317,11.2147958825998,14.078438054576301,16.942080226552832,20.5205502299455,27.031530929329467,30.81399379623888,33.474844828940654,30.613886353179932,29.001795618887048,26.699394717329934,28.041118641382365,25.554676266856067,22.66913588171805,31.5112447199745,28.838345333424048,25.538727564222597,20.145228101057068,16.37434880681894,8.902101723562366,11.077936284723235,14.520366603823106,13.740131661317266,11.417006553670234,7.949627985192701,6.598586183845616,5.118175037394,3.5336988272074166,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3867047753443136,1.7735278541861572,0.16035093302800857,0.0,0.36375849316718284,2.3012297976235,18.38089870455511,42.2141279191285,48.259913209757165,56.03568643506763,67.45067708928556,68.4047548749785,69.52002260394796,68.72119869008074,50.66873143228097,35.075267803974505,28.57743189757903,23.330255614773087,20.519025497838015,23.09219276911903,23.887023519613894,32.52698558166223,33.23377908602493,45.91513713387873,53.85821136554713,66.72551719224553,60.54481001390296,68.87387414331633,72.9441350082007,68.49443312729939,65.84490001974537,63.46130854328574,61.85160055797927,58.03200649982489,49.23428801684133,50.74587887023693,56.71871341662827,62.61518288847378,49.23338607914184,46.66059361161008,41.916231027376455,36.84595712227588,37.53226223133106,31.914469252080725,35.43508416224477,39.80704406861563
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.551169453683451,3.915975462278138,2.643390374202575,0.5310438925857349,0.0,0.0,0.0,0.0,1.9292612984573125,5.521927373309175,2.9919889578485375,0.0,0.0,0.0,0.0,0.0,3.0807095205274875,3.796385221121638,3.6764490334339874,29.888435063286973,43.69012557675841,47.13291500713851,56.474534680680335,61.43833562882876,62.05466692503962,50.27531363458308,47.03696561474689,34.674853462877195,27.16751885601571,16.38115135300726,12.473524677512975,13.198226302490724,19.15481297892324,26.102192767754858,32.48511215590915,38.58839167926993,48.48993806504382,58.2191582998467,76.80359141772897,88.79013122220132,83.73336644922009,79.74717486889188,80.20807080872581,86.45008437624814,78.15750763177807,75.15742633124573,83.85838693749787,85.57008047222277,78.16174859759386,71.11190352145904,73.89664412383493,62.39391588397052,63.451331763797846,58.67939178866816,65.09443329768312
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.81606972582805,26.72237128758519,40.940210082318174,48.145444616322074,50.18747158763423,54.692787481424986,54.62820132464057,53.97271077921756,59.626819419653714,51.618332575000736,44.81087165991425,37.353009231890375,30.935689261739252,27.54757858783624,20.395911576448626,15.839194935823626,11.28052431477135,7.834532572459179,26.53762453285726,47.67029037464555,63.23927141498562,67.26601625844205,82.23090564239433,72.83456980061091,75.58844924225401,83.72049293713769,78.44988790272518,76.82199903490827,66.12812189772286,51.03337370910415,43.90406529913559,33.384825011732225,26.110014918569824,21.930096508353152,19.484816674858862,25.755126918402453,20.848677100210473,31.619909526727838,32.13569850783493,37.38871778313052,40.422355035204276,38.412236530430334,39.68797658625603,38.19401056302088
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.303659530558343,10.672517373677085,29.1413833672755,43.38426583716091,48.09592304945342,66.99705451694429,77.60597953481572,85.55614871252784,88.28992592555355,87.63259702179496,70.32088070160529,52.93196731643601,45.942485846975714,39.01890049761773,42.25901565306863,38.05407929231534,38.723761862646185,42.751235698596595,61.59763371631392,72.92706062542202,82.53804391200445,81.34607222384885,70.08633792096848,71.9954648974316,68.83675397146592,57.5366403960904,51.92473225527108,50.83167964434119,54.28052263931541,50.109144944799766,44.19241213416813,44.08445685673676,43.363907155225114,39.09878038262753,35.507875209097804,26.094735028834286,29.26970594827593,32.6869695461741,28.460076957808514,25.75517970153774,32.52740721145035,37.926069435303184,47.27617813343311,80.48938726763379,91.77308979717289,99.78542650649102
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.755096588646479,30.07926590413614,39.34450628854682,37.855822736606214,37.38740263914122,28.7596369205438,28.8331337401744,25.811488582646,27.03267178377128,32.7639409328168,42.60094205840416,56.502161405794915,74.002895924299,73.3382790513194,65.2467119503562,56.9325790273052,43.79585287577926,37.383160210714685,56.04429724728857,60.0783340218032,64.41457160771853,58.46058912293461,43.659836054743536,46.43082740251056,50.31515212126448,44.38814541820344,47.60778327801462,35.40974679420714,47.38879252753348,43.738896117935084,42.876531473115826,36.337920475660425,26.29711858587662,41.93643838304404,37.19529214729074,35.11851596217222,29.966119680398798,22.57879930506116
