apBin,yBin,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640,660,680,700,720,740,760,780,800,820,840,860,880,900,920,940,960,980,1000,1020,1040,1060,1080,1100,1120,1140,1160,1180,1200
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.102338907366901,7.831950924556276,5.28678074840515,1.0620877851714698,0.0,0.0,0.0,0.0,3.858522596914625,11.04385474661835,5.983977915697075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.327786338682001,22.7818660561514,31.99649026164225,36.11734440187975,31.44537283067975,27.944818145811247,18.193808216660575,22.78329974225,16.584937350616677,11.849638333735301,6.704624090331025,7.57554755893235,8.446471027533674,11.017605675226026,14.288749969481913,11.761435662700924,13.783890633456124,12.2918794700683,8.646279384414736,12.371670222057425,19.365342530490572,29.091267619436472,31.73796232750025,31.0202816095955,35.593836339378875,26.81741925559055,26.7097746130537,25.0406687986959,20.405496928314353,17.848562841752,14.855026086894624,10.22689448277935,5.035991204183125,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.8585436280776,159.121006535294,204.29474940994095,246.832445907859,244.381241878537,249.883858237034,246.997066723043,224.16058760946095,217.880851155459,163.167292611589,126.713559486589,90.2441945181708,60.223142755367405,46.8727706515557,36.3150548766359,25.757339101716106,15.0239862536504,4.23205650316023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.322832845936965,47.049406628726594,62.08099424117683,50.16390795277584,30.786197656233526,29.499876391677233,24.058972591936897,45.51469069439267,47.088967470588024,35.2582009758859,33.76145306257126,37.58661920824477,47.87873120852703,51.62013614508174,44.10787459652163,35.35762515631277,47.636301808159004,52.719081764145336,43.752144731308995,34.78520769847267,25.818270665636366,17.627200935759536,9.55645449323354,11.348724100851335,12.7226143961786,22.434588998068236,31.978512173107802,34.62938417927901,20.769646764846602,29.181046231000934,22.729542766061666,18.048365977496463,22.527528040758796,36.286810014705466,33.4778652504123,35.22386682249833,78.375237148027,77.56425336456167,69.24608409728
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.8655835442885,73.589044035824,106.02382387298452,107.05044688998848,80.99070615355349,90.151186849601,85.5538522374455,74.3633439963785,62.9523018994835,18.664048232505,19.482621476501944,9.897904136285948,0.0,0.0,0.0,0.0,3.80819835803127,9.05459344337115,17.640989076646648,26.22738470992215
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.926733356852549,3.103673744825775,0.280614132799015,0.0,0.63657736304257,4.027152145841125,32.166572732971446,44.997279633312374,53.34904462079205,61.9707322248081,61.582936805565474,60.364282949498374,61.890486822128196,60.466688295524044,44.857574220525194,28.173125529510127,25.931626198913627,17.3486182970966,16.6421284086911,9.353515298958053,7.723423725360815,16.090122442595153,22.670611075757876,28.62179747128,39.82194458808953,64.1979320583609,64.78871465003832,83.09489970492855,90.36178552432318,86.57559188554299,84.18527065457451,81.03239110498174,64.34254046021499,52.621503423476526,36.00854213094258,40.25998266629367,41.97726693491947,42.0183140382761,23.902191456295974,20.647488082947675,14.931962412458072,8.449987552323575,9.06865135954705,4.690532351107792,11.994079209562125,18.541312017212224
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5683235843998,2.06504390307804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.59034539778,71.0755005061288,137.49270298255698,180.23775469727696,179.47045397462398,127.266325764187,116.903824119708,130.301605974469,107.945561452595,134.08574920829,101.159009319818,72.582088980595,53.52957502944489,34.4770610782948,25.8166203422971,29.5993526764014,17.2767541207524,0.0,0.0
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4689273120835,23.946458667913376,26.9435129178645,31.25309290305475,30.5352398822825,26.9001501461635,18.140038175399898,18.62038135570355,20.999129184291302,8.2343862764009,5.514481757686725,1.0202017642434376,0.0,0.0,0.0,0.0,0.0,0.0,33.32357729320025,68.58957791435652,90.84378826150355,100.06555119687073,125.97222171734708,113.99852089689482,119.75216020179495,144.96592490981527,137.04099262341214,136.3160383546002,115.68483847466197,83.1666183117998,67.26814497034343,44.68549495538708,33.16193429014895,27.478087969272327,27.08675594585973,34.46375127688985,31.499320911922297,29.293677127728447,23.232292403752076,15.813070130714364,9.7633886056451,12.9434406049047,9.404890376774349,4.004240481619175
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.839943848825833,28.73347778970077,41.205607764663,51.462950783675666,57.62393406033067,61.885029636573336,43.19322610416767,33.33089797753607,22.473418457339502,21.588144059831833,16.11264542405043,16.469085078064133,22.517539049643133,25.184607136704162,46.21460026859666,64.32135790824033,106.14119279648772,122.284410250791,140.96863298292865,145.69962725912566,128.17716332594702,120.35311628584809,107.90001083594183,90.50001619290192,83.5199199303388,81.48931205002235,89.36082969338433,82.46193031783702,71.44304940674128,71.56316029463594,61.045636297018206,45.046784091814466,36.94306790466924,29.686196253893865,29.53044695517713,43.70649414536874,38.0556372547885,26.795763953935296,28.369061863492334,32.72964486740667,41.88672938013556,56.23007061645817,63.53154926426941,88.34803782679471
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.607193538554355,25.386071203880547,27.058661040815544,11.996532461981053,0.0,0.0,0.0,6.9964204249832,16.6401588123595,29.703644899934396,48.7501860302623,62.2845833035045,76.053538985344,74.893880209214,71.164685063994,62.0941526383985,50.1834991453485,47.16703329925476,39.13361020436996,24.268479875996352,9.9629818515793,0.626921122083255,0.0,0.0,7.1823794645563,24.7754850872018,43.3102373077921,72.639967555482,78.206557223098,82.60489259089151,72.212906705329,52.416080603537,96.83462633480926,86.3125024912669,78.7416964620594,57.27431012435035,30.21961355273075
3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.754888450325,62.211606992566,72.1834380731205,112.9114962013685,118.688076163428,119.5391054695615,119.5908188242345,87.625411571933,66.4171862548905,48.15775924369935,46.9586580575126,38.53233242505085,62.1156440940005,68.157734867927,81.6642046506275,70.9770046495715,85.2857625639577,80.91246378463185,86.2535896410869,72.0234519748592,72.21782586486695,74.5809014800561,66.57933217446185,62.086608759959795,60.049797691536604,87.79552103249745,97.86901590243406,100.30292379705949,97.0906107132419,114.56096308836,135.11651203310603,116.52675848375145,102.54665642068039,78.20473466658375,58.8686934426584,47.22498175723411,42.96806584222395,37.13038855992245,46.57903396190975
