bin,D_mode,D_mean,D_median,D_std,halflife_mode_min,halflife_mean_min,D_95CI_lower,D_95CI_upper
1,0.19322287371376115,0.8084464548391568,0.6797331246884267,0.6027535798902369,3.587293611970434,0.8573816811378675,0.040651728126001,2.2393296339681314
2,0.14431084319085233,0.8338647059549821,0.7106744420083868,0.5936126409995636,4.803153839543798,0.8312465746659942,0.09023275678299517,2.2750950392221836
3,0.4017938203103691,0.924070476003534,0.798845237326872,0.5666188351646944,1.7251315115412122,0.7501020739865023,0.2016677755877499,2.29171541578072
4,0.4263099056344145,0.9101051401777739,0.7840778868654512,0.5794706512435455,1.6259232342453689,0.7616122027665403,0.1783864450919422,2.3121267186979177
5,0.49644998843647314,0.8716183003660355,0.743860139520131,0.5908384647509632,1.3962074664216493,0.7952416559735593,0.12322805376518375,2.308050885893432
