bin,D_mode,D_mean,D_median,D_std,halflife_mode_min,halflife_mean_min,D_95CI_lower,D_95CI_upper
1,0.21069199788526388,0.8019048598970325,0.6738320591893882,0.6085065159409095,3.289860020869948,0.8643758321267038,0.0326358328464206,2.260472701041317
2,0.21361687489564538,0.8520784423487817,0.7292790889594924,0.5910522877317596,3.244814722144759,0.8134781331273476,0.1020089395354736,2.2916018025796436
3,0.3826974435056463,0.927507830082468,0.8043152964245341,0.5707399267229096,1.8112145568845919,0.7473221875639747,0.2035782686877576,2.3081622326216724
4,0.3403988964699538,0.9028187509765412,0.7829539709841813,0.5693382779668658,2.0362791646744594,0.7677589547295036,0.1720528091035532,2.2800300333777166
5,0.34545817612646945,0.8673254646425567,0.7409168419499149,0.5967142610223198,2.0064575930204347,0.7991777121932031,0.11242049001053885,2.289819120093661
